AIRLINE,AIRLINE_CODE,ORIGIN,DEST,TAXI_OUT,TAXI_IN,CANCELLED,CANCELLATION_CODE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
Southwest Airlines Co.,WN,DAL,TUL,10.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,CMH,MCO,6.0,5.0,0.0,,5.0,0.0,0.0,0.0,25.0
Delta Air Lines Inc.,DL,BOS,DTW,16.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,CMH,ORD,17.0,15.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,CLT,AVP,32.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,JFK,SFO,20.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,IAD,BDL,16.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,BUR,SEA,24.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,ORF,EWR,13.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,BWI,BUF,10.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,SEA,SLC,16.0,6.0,0.0,,24.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,EWR,MCO,26.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,DCA,PIT,21.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,ORD,SFO,16.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,SEA,DEN,14.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,MCO,MSP,11.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,DEN,IAD,33.0,5.0,0.0,,12.0,0.0,16.0,0.0,0.0
United Air Lines Inc.,UA,DEN,AUS,15.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,AUS,CLT,13.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,DCA,BNA,9.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,BDL,MDW,17.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,HOU,ELP,8.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,DTW,RDU,13.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,ORD,MCI,18.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,MCO,PHX,16.0,32.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,SEA,SJC,18.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
ExpressJet Airlines LLC d/b/a aha!,EV,IAH,TUL,38.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,EWR,PBI,10.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,MCO,BNA,8.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mesa Airlines Inc.,YV,GPT,DFW,19.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,IND,LAS,8.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,ORD,SNA,18.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,MCI,DAL,9.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,PIA,ATL,15.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,CLT,CMH,22.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,ORD,DFW,25.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,DFW,SPI,31.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,ATL,BHM,10.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,PHX,SEA,15.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,CHA,ATL,21.0,9.0,0.0,,0.0,13.0,5.0,0.0,169.0
Hawaiian Airlines Inc.,HA,OGG,SFO,13.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,LAX,OGG,13.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,DEN,AUS,19.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,AUS,RDU,20.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,BWI,SAN,11.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,PDX,ORD,11.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,9E,ATL,LEX,20.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,MCI,DEN,13.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,ATL,ROC,11.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,LAX,JFK,16.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,LGA,OMA,16.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,PDX,ATL,12.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,DEN,AUS,15.0,5.0,0.0,,48.0,0.0,9.0,0.0,47.0
United Air Lines Inc.,UA,DEN,LAX,23.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,OAK,LGB,7.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Allegiant Air,G4,SRQ,AUS,14.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,LGA,DEN,11.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,AUS,LAX,9.0,15.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,CLT,CAE,26.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,SLC,SEA,15.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,DFW,DEN,20.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
Allegiant Air,G4,VPS,OKC,16.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,BTR,CLT,13.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,ORD,IAH,19.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,CLT,TPA,11.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
