SFB	10.32258
SFO	12.825099
SGF	10.754545
SGU	8.789474
SHD	9.545455
SHR	10.5
SHV	10.74026
SIT	10.130435
SJC	8.34478
SJT	7.225806
SJU	10.213362
SLC	12.463343
SLN	9.076923
SMF	8.220883
SMX	6.6666665
SNA	10.2621355
SPI	10.454545
SPN	11.25
SPS	10.652174
SRQ	9.133333
STC	7.0
STL	8.352081
STS	11.477273
STT	9.677966
STX	8.153846
SUN	7.9736843
SUX	10.705882
SWF	8.857142
SWO	8.571428
SYR	9.709678
TBN	13.0
TLH	8.670732
TOL	6.3913045
TPA	9.039965
TRI	7.6486487
TTN	11.375
TUL	9.395833
TUS	8.854838
TVC	10.393939
TWF	9.272727
TXK	4.5454545
TYR	7.6842103
TYS	9.779904
UIN	4.5
USA	9.2
VCT	8.333333
VEL	9.5
VLD	8.625
VPS	12.0875
WRG	6.733333
WYS	4.0
XNA	10.692771
XWA	13.333333
YAK	5.090909
YKM	6.0
YUM	8.740741
